,filename,1,2,3
0,random_210.txt,0.960422073,0.47329333,0.514968096
1,SMPA_Output_1116.txt,0.924995887,0.830804592,0.912320179
2,submitrepeat1.txt,error,error,error
3,testpredictions2.csv,0.02961725,0.933416027,0.965365535
4,NotSoGoodClassifier.txt,0.927698607,0.823475366,0.903108274
5,testY_1115.txt,0.244273771,0.525661499,0.120514492
6,eh_1_1.csv,0.270995938,0.301784879,0.915060495
7,hw5_create_auc_revused.py,error,error,error
8,kl_2.txt,0.243438725,0.373985068,0.968165095
10,team_predictions5.txt,0.973614054,0.935779822,0.957728961
11,PASM_OutputR_1116.txt,0.950720933,0.869094223,0.927263273
12,Bagging_tree_60.txt,0.271266341,0.391513146,0.853890477
13,nov16results.csv,error,error,error
14,SubmissionFile_KNN.txt,error,error,error
15,v3.txt,0.358364816,0.39715693,0.114300925
16,test_predictions4.txt,0.921076206,0.871530065,0.890389049
17,testY_1116_multilabel_NA002.txt,0.238874931,0.368441162,0.941397742
18,zj_classification_1.txt,0.982989888,0.957345091,0.969173823
